title;content
Фото дня: 14 марта;Военные учения в Гане, протесты против судебной реформы в Израиле и другие снимки  в фотогалерее Ъ.
Суду предложили Дружбу;В Самаре в скором времени начнется процесс по делу о загрязнении хлорорганическими соединениями нефтепровода Дружба. Обвиняемыми являются директор ООО Нефтеперевалка Светлана Балабай, заместитель генерального директора ООО Нефтеперевалка Рустам Хуснутдинов, генеральный директор ООО Петронефть Актив Владимир Жоголев и замдиректора ООО Магистраль Сергей Баландин. Им инкриминируется ряд статей УК РФ, среди которых и Организованное преступное сообщество.В Волжский суд Самары уголовное дело о загрязнении хлорорганическими соединениями нефтепровода Дружба поступило в конце января этого года. Предварительное слушание дважды откладывалось, теперь назначено на 21 марта.Инцидент на нефтепроводе Дружба произошел в апреле 2019 года. Сначала белорусский Белнефтехим сообщил о резком ухудшении качества нефти из России, поставляемой по трубопроводу, а после этого приостановил транзит российского сырья в Европу. Затем Транснефть заявила, что экспортируемую нефть умышленно загрязнили хлорорганическими соединениями. Позже Следственный комитет России (СКР) сообщил, что некачественная нефть попала в нефтепровод через узел слива нефти, расположенный у села Николаевка Волжского района Самарской области. Расследованием уголовного дела занялось управление СКР по Самарской области. По первоначальной версии следствия, фигуранты  генеральный директор ООО Нефтеперевалка Светлана Балабай, заместитель генерального директора ООО Нефтеперевалка Рустам Хуснутдинов, генеральный директор ООО Петронефть Актив Владимир Жоголев и замдиректора ООО Магистраль Сергей Баландин  в период с августа 2018 по апрель 2019 года в составе преступного сообщества совершили многократные хищения нефти на сумму не менее 1 млн руб. Позже стало известно о других подозреваемых, в их числе оказался начальник приемо-сдаточного пункта Лопатино (ПСП) Роман Гладков, который, как считают следователи, получал от главы ООО Союз-Нефть средства за помощь с приемом смеси нефти и продуктов нефтепереработки от Нефтеперевалки. Кроме того, по версии следствия, Роман Гладков, а также Сергей Баландин передавали незаконное вознаграждение за бездействие еще одному фигуранту дела  замглавы куйбышевского районного управления Транснефть-Дружбы по товарно-транспортным операциям Дмитрию Никишову. Светлане Балабай вменяют четыре статьи УК РФ: ст. ст. 167 (умышленные уничтожение или повреждение имущества), 159 (мошенничество), 215.3 (самовольное подключение к нефтепроводам), 210 (участие в преступном сообществе). Рустаму Хуснутдинову предъявлено обвинение по ст. ст. 167 и 215.3 УК РФ. Роман Гладков обвиняется по нескольким статьям УК РФ  167-й, 210-й, 204-й (коммерческий подкуп), ст. ст. 215.3 и 159. Владимиру Жоголеву вменяются ст. ст 167, 159, 215.3, 210. В начале 2020 года Светлане Балабай, Рустаму Хуснутдинову и Владимиру Жоголеву смягчили меру пресечения до запрета определенных действий. Роману Гладкову суд продлил срок домашнего ареста.Сабрина Самедова, Самара
Асад прибыл в Москву на переговоры с Путиным;Президент Сирии Башар Асад прибыл в Москву, сообщило сирийское агентство SANA. Господин Асад собирается провести переговоры с президентом России Владимиром Путиным. В Кремле сообщили, что встреча состоится 15 марта. Новость дополняется.
Замглавы МИД РФ Вершинин: продление зерновой сделки на 60 дней не ультиматум;Замминистра МИД РФ Сергей Вершинин прокомментировал позицию России по продлению зерновой сделки только на 60 дней. По его словам, принятое решение  не ультиматум, а принципиальное условие российской стороны, которая планирует за этот срок проследить за прогрессом реализации договоренностей. Это не ультиматум, это четкая, принципиальная и открытая позиция российской стороны. Это означает, что в конце этого периода мы посмотрим, какой прогресс достигнут в том, что касается реализации нашего меморандума между секретариатом ООН и Россией, и уже на этой основе будем определяться с тем, что касается судьбы черноморской зерновой сделки, инициативы в целом, сказал Сергей Вершинин журналистам (цитата по РИА Новости). Господин Вершинин утверждает, что позиция России стала серьезным сигналом о необходимости реальных результатов, которые должны на практике обеспечивать беспрепятственный вывоз российского продовольствия и удобрений на мировой рынок. По словам замглавы МИД РФ, российские экономические операторы, судовые компании, финансовые учреждения, банки сталкиваются со всеми теми барьерами и санкциями, которые вводились странами Запада. В связи с этим Россия, сказал господин Вершинин, должна упомянуть о сбоях и перекосах в выполнении условий сделки.О продлении сделки на 60 дней сообщил сегодня, 14 марта, замминистра МИД РФ Александр Грушко. Он подчеркнул, что подтвержден пакетный характер соглашения, а Россия будет настойчиво добиваться исполнения всех условий. В Кремле решение Москвы назвали жестом доброй воли. Министр инфраструктуры Украины Александр Кубраков заявил, что соглашение предусматривает продление как минимум на 120 дней, поэтому позиция России противоречит документу. По его словам, Украина ждет позиции ООН и Турции как гарантов инициативы.Пакетный характер зерновой сделки заключается в двух пунктах  открытие портов Украины для вывоза зерна и экспорт российских удобрений и сельхозпродукции. Для выполнения последнего необходимо снятие западных санкций по ряду направлений для реализации экспорта. Москва неоднократно критиковала эту часть сделки. В МИД подчеркивали, что дальнейшая позиция РФ по продлению соглашения зависит от выполнения второй части сделки. Прежде сделка была продлена в ноябре на 120 дней. Подробнее о зерновой сделке  в материале Ъ И какого зерна, спрашивается.Лусине Баласян
Пашинян уволил командующего объединенной группировкой войск РФ и Армении Парваняна;Командующий объединенной армяно-российской группировкой войск Тигран Парванян отправлен в отставку по предложению премьер-министра Армении Никола Пашиняна. Соответствующий указ подписал президент страны Ваагн Хачатурян.Россия и Армения подписали соглашение о создании объединенной группировки войск в ноябре 2016 года. Согласно документу, группировкой управляет объединенное командование. Назначать командующего и освобождать его от должности может верховный главнокомандующий ВС Армении по согласованию со своим российским коллегой.Генерал-лейтенант Тигран Парванян занимал должность с февраля 2018 года. До этого он командовал 1-м армейским соединением.Эрдни Кагалтынов
Миллиард на удачу;Слесарь из Нижнего Новгорода выиграл 1 млрд руб. в лотерею. Александр Земсков купил конверт с пятью билетами, один из которых и принес ему удачу. О выигрыше Столото сообщила еще 1 января, но за деньгами мужчина приехал в Москву только сейчас. Сразу осознать подобное невозможно, миллиард  это баснословная сумма,  сказал победитель. Правда, получит он только 850 млн руб. с учетом налогов. Часть из них Земсков планирует потратить на погашение кредитов, покупку машины и путешествия.Как распорядиться этой суммой грамотно? Свой сценарий предложила финансовый советник Наталья Смирнова: Первое, что можно сделать,  закрыть все долги, это очевидно. Профинансировать текущие потребности, которые жизненно необходимы, в частности, это жилье, машина, какой-то ремонт, высшее образование детям, а также закрытие расходов по медицине. Все, что после этого останется, можно инвестировать. Куда? Зависит от того, где человек себя видит. Если ему нравится Нижний Новгород, если он остается в России, то средства можно вкладывать в соответствии со своим уровнем риска. Думаю, что слесарь, наверное, все-таки не слишком финансово грамотен, поэтому из инструментов для инвестиций я советовала бы самое банальное  закрытые рентные фонды недвижимости и облигации. Если он всего этого опасается, можно накупить квартир и сдавать их в аренду, но доходность будет процента 4  это неинтересно. Если человек готов к каким-то открытым моментам, тогда можно формировать портфель из акций в надежде на восстановление дивидендов. Часть выигрыша Александр Земсков планирует потратить на путешествия по российским курортам. Пляжные направления стоит рассмотреть во вторую очередь, отметил директор по маркетингу и развитию консьерж-сервиса Konsierge Кирилл Рябков: Можно поехать, например, на Алтай в отель Altay Resort, который считается одним из лучших в России. Если там отдыхать по полной программе, то можно где-то 2 млн руб. оставить. Также достойны внимания Камчатка, Карелия, или Rodina Grand Hotel & SPA в Сочи. Можно рассмотреть Байкал, где находится Baikal Residence. Победитель лотереи может его забронировать только для своей семьи, пригласить друзей и отметить свой выигрыш.Это второй случай выигрыша лотерейного миллиарда. Первый произошел в январе 2020-го. Тогда победителем стала жительница Подмосковья. Новости в вашем ритме  Telegram-канал Ъ FM.Иван Корякин
США сообщили о столкновении беспилотника и российского Су-27 над Черным морем;Российский реактивный истребитель Су-27 и американский беспилотник MQ-9 Reaper столкнулись над Черным морем, сообщило европейское командование вооруженных сил США. Российская сторона информацию пока не комментировала.Как сообщает командование, два российских самолета Су-27 совершили небезопасный перехват MQ-9. В результате один из Су-27 задел винт американского беспилотника, тот потерял управление. Силам США, говорится в сообщении, пришлось сбить MQ-9, после чего он упал в международных водах. Наш MQ-9 выполнял обычные операции в международном воздушном пространстве, когда он был перехвачен российским самолетом и получил удар от него, что привело к падению и полной потере MQ-9,  сказал генерал Джеймс Хекер, командующий военно-воздушными силами США в Европе и Африке.В заявлении говорится, что Су-27 экологически небезопасным образом несколько раз перед столкновением сбрасывал топливо, пролетая перед MQ-9. Координатор по стратегическим коммуникациям в Совете нацбезопасности США Джон Кирби в ходе брифинга заявил о намерении Госдепа связаться с российскими официальными лицами, чтобы заявить об обеспокоенности по факту инцидента.Лусине Баласян
Путин назвал чушью версию о подрыве Северных потоков проукраинской группировкой;Президент России Владимир Путин назвал полной чушью версии о том, что диверсии на Северных потоках осуществили украинские активисты. По словам президента, судя по всему, под газопроводы Северного потока было заложено несколько взрывных устройств  что-то взорвалось, а что-то нет.Взрыв подобного рода, такой мощности, на такой глубине могут осуществить только специалисты причем поддержанные всей мощью государства, которое располагает определенными технологиями, сказал президент в ходе рабочего визита в Улан-Удэ.По мнению Владимира Путина, виновных в подрывах всегда нужно искать среди заинтересованных. Президент заявил, что в диверсиях теоретически заинтересованы США, чтобы получить возможность поставлять в Европу объемы своего газа, в том числе сжиженного природного газа, даже если он на 25-30% дороже российского.Взрывы на Северном потоке и не введенном в эксплуатацию Северном потоке-2 произошли 26 сентября 2022 года. В феврале журналист Сеймур Херш опубликовал материал, в котором он со ссылкой на одного источника с непосредственным знанием оперативного планирования сообщил, что взрывы были секретной операцией США.По информации ряда западных СМИ, к произошедшим в сентябре 2022 года подрывам газопроводов может быть причастна проукраинская группировка, которая, скорее всего, не связана с властями Украины.  Украина отрицает виновность своих граждан в подрывах газопроводов. В Кремле также не верят в причастность частных лиц к диверсиям.Подробнее о расследовании взрывов  в материале Ъ Трубный запах.Эрдни Кагалтынов
Путин предложил построить социальную инфраструктуру на месте военных частей и тюрем в городах Дальнего Востока;Президент России Владимир Путин в ходе совещания по реализации программ развития дальневосточных городов предложил обсудить их специфическую черту  большое количество объектов Минобороны, ФСИН и других федеральных ведомств в центральных районах. Глава государства отметил, что рассматривается вариант с постройкой на месте этих объектов социальной инфраструктуры. Есть предложение о выводе подобных объектов в другие места, чтобы освободившееся пространство использовать для возведения жилья, социальных объектов, парков и так далее, сказал Владимир Путин. Российский президент считает, что Дальний Восток необходимо сделать притягательным для учебы, работы и ведения бизнеса. Он отметил заметные результаты, которых удалось добиться в этом направлении за последние десять лет. Предстоит приложить серьезные усилия, чтобы кардинально повысить качество жизни людей в дальневосточных регионах, создать комфортную и безопасную городскую среду, решить инфраструктурные, экологические проблемы, добавил господин Путин. Для реализации планов по развитию Дальнего Востока существует несколько государственных программ. Одна из них  Дальневосточный квартал, запущенная в 2021 году. Она направлена на стимулирование комплексной застройки жилых районов в регионе. В ходе Восточного экономического форума осенью 2022 года Владимир Путин сообщил о продлении дальневосточной ипотеки по ставке 2% до 2030 года. Лусине Баласян
Ответственности производителей добавят конкретики;В России продолжается совершенствование действующего института расширенной ответственности производителей, который предполагает необходимость утилизации отходов от использования их товаров и упаковки. Ключевой закон в этой области должен быть принят в 2023 году. Профессиональные открытые дискуссии о данном документе сфокусированы на переносе ответственности за утилизацию упаковки, за которую должен отвечать ее производитель. Российские производители и импортеры готовы участвовать в реализации и совершенствовании РОП и считают, что в новой редакции закона одновременно необходимо конкретизировать схему охвата РОП с акцентом на обращение с твердыми коммунальными отходами, а также усилить уклон на их непосредственную переработку.В 2023 году в России должен быть принят новый закон о расширенной ответственности производителей и импортеров за утилизацию упаковки. По мнению спецпредставителя президента РФ по вопросам природоохранной деятельности, экологии и транспорта Сергея Иванова, документ станет самым важным событием года в экологии. Закон формализует систему, в рамках которой компании, выпускающие упаковку, должны отвечать за ее утилизацию или захоронение. В случае невозможности сделать это самостоятельно предприятие обязано уплатить экологический сбор.Формирование института расширенной ответственности в России продолжается уже десять лет, но до сих пор система полноценно не запущена. К 2017 году были утверждены первые нормативы утилизации в 510%, но они относились к выборочным товарам и не затрагивали упаковку, на которую приходится существенная часть твердых коммунальных отходов.Спустя еще два года стало очевидно, что схема РОП не работает, и правительство запустило ее реформу, заявленная цель которой  решение проблем с незаконными свалками и уменьшение количества отходов, а также переход на стопроцентную утилизацию упаковки. Но участники рынка и государство по-прежнему не могут согласовать ключевые параметры новой системы. А отраслевые эксперты опасаются, что без детальной проработки документ не будет работать нужным образом и станет вместо экологического инструмента способом монетизации.По мнению профильных экспертов, одна из основных недоработок законопроекта о РОП в том, что он по-прежнему строго не распространяется на твердые коммунальные отходы, образованные населением. На данный момент в России параллельно формируются две системы управления отходами: ТКО (регоператоры) и РОП (производители и импортеры) с одинаковой целью  предотвращение размещения отходов на полигонах за счет их утилизации. До настоящего времени эти две системы работают автономно, создав парадоксальную ситуацию, когда товаропроизводители, имея деньги для утилизации отходов, не имеют доступа к контейнерным площадкам с ТКО, а регоператоры имеют горы отходов, разделять и вывозить которые на контейнере у них нет возможности (денег). Таким образом, товаропроизводители не могут выполнить свои нормы по переработке из-за невозможности изъять приходящие на их долю отходы из ТКО, а регоператоры продолжают строить дорогостоящие мусоросортировки, отходы с которых малопригодны к переработке и тем самым не востребованы. Готовность товаропроизводителей взять на себя финансирование работ по раздельному сбору и утилизации отходов населения, предотвращая их попадание в кучу, в начале мусорной реформы была не учтена. Отсюда и огромные тарифы регоператоров по перевозке на полигоны через сортировки отходов, собранных в кучу. В то время как раздельное накопление отходов смогло бы спасти их полезные свойства и позволило бы отходам попасть не на полигон, а на переработку, считает эксперт научно-технического совета Росприроднадзора РФ, глава юридической компании Дельфи Наталья Беляева. Она поясняет, что на данный момент в России хорошо налажен сбор только лома черных и цветных металлов и макулатуры. Причем сбор этот не переставал функционировать со времени распада СССР. И если лом сдают как предприятия, так и население, то сбор макулатуры преимущественно ведется в секторе В2В, уточняет эксперт.Существенным пробелом обсуждаемой системы РОП является отсутствие четкого и единого понимания основных ее понятий различными участниками. Так, например, из существующих документов неясно, что подразумевается под процессом утилизации с технологической точки зрения, кто и как ей должен заниматься. Сейчас, отмечает главный эколог крупнейшего в России производителя картона АО Архангельский ЦБК Евгения Москалюк, расширенную ответственность производителя участники рынка понимают часто по-своему, а процесс утилизации идентифицируется, исходя исключительно из юридического, документального толкования. Это во многом связано с отсутствием гармонизации, например, таких регулирующих законодательных требований, как требования в области обращения с отходами и в области промышленной политики. В текущих обстоятельствах предприятия, которые регистрируют свою деятельность в сфере утилизации и разрабатывают соответствующую документацию, вынуждены либо задваивать ее, либо разъяснять, что под какой деятельностью понимается. Мы уже видим примеры, когда решения о том, является ли реализуемая деятельность утилизацией или нет, выносит суд, но это, скорее, не самый эффективный путь для достижения национальных целей и сроков, поясняет она. Помимо этого, считают в АЦБК, способы выполнения утилизации должны быть в двух форматах: как основной вид экономической деятельности и/или как вспомогательный, второстепенный процесс в рамках основной деятельности по производству соответствующего товара. В отношении самой компании речь идет о возможности использования макулатуры для вида экономической деятельности  производства картона как одного из вариантов выполнения норм по утилизации.По мнению госпожи Москалюк, необходимо совершенствование основополагающего документа при работе с отходами  Федерального классификационного каталога отхода  и расширение его назначения в части применения в системе РОП. Она поясняет, что на данный момент в нем нет конкретных распространенных видов отходов в части бумаги и картона, классически идентифицируемых как макулатура. И непонятно, как при этом без рисков товаропроизводители и утилизаторы должны выполнять норматив по утилизации своей продукции, формировать достоверную отчетность, говорит эколог.Существует опасение, что система пока настроена на монетизацию, при этом менеджмент сбора отходов, уточнения объектов обработки и утилизации, какими отходами надо управлять, необходимо усиливать. Поэтому, отмечает Евгения Москалюк, для обеспечения эффективного совершенствования концепции РОП и снижения рисков производителей необходимо провести ревизию всех действующих и принятых нормативных правовых актов в этой сфере, а также более четко прописать экологические аспекты. По ее мнению, объяснимо, что изначально инициатива расширенной ответственности формировалась в силу разных причин в режиме недостаточной оценки степени уже действующих требований в области обращения с отходами и в силу этого оказалась конструкцией, собранной из половинчатых решений. В настоящее время решения должны быть полными и достаточными.Эксперты уверены, что новое законодательство о РОП должно гарантировать компаниям ряд условий, направленных на снижение их рисков. В частности, оно должно обеспечивать однократно выполнение норматива утилизации в отношении единицы материала по его циклу до изделия. Также, считают они, необходимо более прописать для производителя возможность выполнения нормативов утилизации через производство новой продукции с использованием вторичного материала, изъятого из отходов. Помимо этого в законодательстве необходимо учесть физическую невозможность выполнения нормативов утилизации на 100%.Еще одним серьезным разногласием между участниками рынка и государством является определение объекта применения РОП. Изначально предполагалось, что заниматься утилизацией своих товаров или уплачивать экологический сбор должны производители товаров в упаковке, но в текущей версии документов ответственность за них возлагается на компании, выпускающие непосредственно саму упаковку. В АЦБК считают, что в законодательстве на первом этапе должны быть определены конкретные виды упаковки и ее параметры для подобного переноса. При этом, несмотря на все трудности, задачу по созданию прозрачного и действенного механизма расширенной ответственности производителей в компании называют выполнимой и не сомневаются в необходимости формирования подобного экологического инструмента.
